agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,sub_type
CTBTO,CTBTO,2022,5904419,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,19890,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,524508,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,4461243,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,32622,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,63813,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,239493,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,5155,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,14519,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,12850,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,11842,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,22600,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,6502,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,42330,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3959,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,8191438,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3866,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1842607,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1677002,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,5155,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,393821,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,329912,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,20619,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3023323,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,5155,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,114749,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,102242,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,12887,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,11598,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,571660,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1328,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,9021,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2631,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1023934,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,12887,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1090142,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,3901,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,1289,Assessed contributions,Assessed contributions,R01
CTBTO,CTBTO,2022,2639,Assessed contributions,Assessed contributions,R01
